train_id,train_name,origin_code,destination_code,station_code,station_name,day,arrival,departure,halt_min,distance_km,running_days,arrival_minute_of_day,departure_minute_of_day
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,HWH,Howrah Jn,1,--,16:50,0,0,Mon-Sat,,1010
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,ASN,Asansol Jn,1,18:47,18:49,2,200,Mon-Sat,1127,1129
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,DHN,Dhanbad Jn,1,19:55,20:00,5,269,Mon-Sat,1195,1200
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,PNME,Parasnath,1,20:30,20:32,2,310,Mon-Sat,1230,1232
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,GAYA,Gaya Jn,1,22:32,22:35,3,447,Mon-Sat,1352,1355
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,DDU,Pt Deen Dayal Upadhyaya Jn,2,00:43,00:50,7,755,Mon-Sat,43,50
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,PRYJ,Prayagraj Jn,2,02:43,02:45,2,880,Mon-Sat,163,165
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,CNB,Kanpur Central,2,04:50,04:55,5,1005,Mon-Sat,290,295
12301,Howrah-New Delhi Rajdhani Express,HWH,NDLS,NDLS,New Delhi,2,10:05,--,0,1449,Mon-Sat,605,
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,SDAH,Sealdah,1,--,16:50,0,0,Daily,,1010
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,DGR,Durgapur,1,18:48,18:50,2,158,Daily,1128,1130
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,ASN,Asansol Jn,1,19:16,19:20,4,199,Daily,1156,1160
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,DHN,Dhanbad Jn,1,20:20,20:25,5,259,Daily,1220,1225
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,GAYA,Gaya Jn,1,22:57,23:00,3,457,Daily,1377,1380
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,DDU,Pt Deen Dayal Upadhyaya Jn,2,01:13,01:20,7,766,Daily,73,80
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,CNB,Kanpur Central,2,05:15,05:20,5,1016,Daily,315,320
12313,Sealdah-New Delhi Rajdhani Express,SDAH,NDLS,NDLS,New Delhi,2,10:50,--,0,1453,Daily,650,
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,NDLS,New Delhi,1,--,16:30,0,0,Daily,,990
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,CNB,Kanpur Central,1,21:10,21:15,5,440,Daily,1270,1275
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,DDU,Pt Deen Dayal Upadhyaya Jn,2,01:23,01:30,7,787,Daily,83,90
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,GAYA,Gaya Jn,2,03:42,03:45,3,990,Daily,222,225
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,DHN,Dhanbad Jn,2,06:18,06:23,5,1189,Daily,378,383
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,ASN,Asansol Jn,2,07:01,07:03,2,1247,Daily,421,423
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,DGR,Durgapur,2,07:31,07:33,2,1289,Daily,451,453
12314,New Delhi-Sealdah Rajdhani Express,NDLS,SDAH,SDAH,Sealdah,2,10:10,--,0,1454,Daily,610,
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,NDLS,New Delhi,1,--,16:50,0,0,"Mon-Thu,Sat-Sun",,1010
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,CNB,Kanpur Central,1,21:30,21:35,5,441,"Mon-Thu,Sat-Sun",1290,1295
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,PRYJ,Prayagraj Jn,1,23:41,23:43,2,636,"Mon-Thu,Sat-Sun",1421,1423
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,DDU,Pt Deen Dayal Upadhyaya Jn,2,01:33,01:40,7,788,"Mon-Thu,Sat-Sun",93,100
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,GAYA,Gaya Jn,2,03:47,03:50,3,990,"Mon-Thu,Sat-Sun",227,230
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,PNME,Parasnath,2,05:45,05:47,2,1127,"Mon-Thu,Sat-Sun",345,347
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,DHN,Dhanbad Jn,2,06:35,06:40,5,1168,"Mon-Thu,Sat-Sun",395,400
12302,New Delhi-Howrah Rajdhani Express,NDLS,HWH,HWH,Howrah Jn,2,09:50,--,0,1447,"Mon-Thu,Sat-Sun",590,
